genes	predicted_functions
otog	uberon_0002103:0.000573559393618
tg(prnp-tardbp*q331k)103dwc	uberon_0002103:0.0751027663593
bglap-rs1	uberon_0002103:0.150205532719
glycam1	uberon_0002103:1.03853158328
nectin3	uberon_0002103:0.0566827379532
apoc1	uberon_0002103:1.23919564493
tg(myh6-tnni3*g203s)1chs	uberon_0002103:0.187756915898
islr2	uberon_0002103:0.345193711997
pde5a	uberon_0002103:0.00376191587123
cd74	uberon_0002103:4.68858640405
rad21	uberon_0002103:6.60444524247
cd70	uberon_0002103:3.73402384898
hic1	uberon_0002103:24.5207906989
hic2	uberon_0002103:10.6546848728
cdkn2c	uberon_0002103:32.5732797199
tg(teto/prnp-app*swe*lon)9191krz	uberon_0002103:0.375513831796
b2b1801clo	uberon_0002103:0.0751027663593
gpha2	uberon_0002103:0.0375513831796
oc90	uberon_0002103:0.00727209547848
b2m	uberon_0002103:0.0230668495549
cdkn2a	uberon_0002103:45.899532495
tg(cmv-serpine1)1dgi	uberon_0002103:0.638373514054
cyth1	uberon_0002103:0.855749802572
cyp26b1	uberon_0002103:13.4209418617
cyth3	uberon_0002103:0.826130429952
cyth2	uberon_0002103:0.863681813132
syn2	uberon_0002103:1.31429841129
syn3	uberon_0002103:0.0375513831796
syn1	uberon_0002103:2.18895763977
nedd8	uberon_0002103:0.74063581852
mc1r	uberon_0002103:5.66101470981
tg(lef1)1efu	uberon_0002103:0.187756915898
nedd1	uberon_0002103:0.84735019678
gm10923	uberon_0002103:6.20903633579
gm10922	uberon_0002103:0.0375513831796
nedd4	uberon_0002103:14.7154608494
tnfrsf21	uberon_0002103:15.1388889244
ltsw1	uberon_0002103:1.12654149539
cyp2c37	uberon_0002103:0.609470600203
cyp2c39	uberon_0002103:0.589316033952
cyp2c38	uberon_0002103:0.589316033952
lig1	uberon_0002103:2.74022402723
jub	uberon_0002103:0.102585619349
col8a2	uberon_0002103:30.6196327284
col8a1	uberon_0002103:34.9353575864
isy1	uberon_0002103:6.45636282045
ints2	uberon_0002103:0.88187882796
gadd45a	uberon_0002103:11.8598060985
gadd45b	uberon_0002103:5.18748424549
egfr	uberon_0002103:295.630322156
dlg3	uberon_0002103:11.294825935
bcat1	uberon_0002103:1.72736362626
mcdq1	uberon_0002103:0.187756915898
slc29a4	uberon_0002103:0.0751027663593
vip	uberon_0002103:10.6167561416
dlg2	uberon_0002103:3.59883894557
pofut2	uberon_0002103:0.427874901286
noc4l	uberon_0002103:5.03188534607
chst1	uberon_0002103:0.413065214976
alox12e	uberon_0002103:0.850534945366
alox12b	uberon_0002103:1.74418570378
dlg4	uberon_0002103:1.78063813956
wccw	uberon_0002103:0.751027663593
meiob	uberon_0002103:1.23919564493
rbbp8	uberon_0002103:1.47134210989
ints5	uberon_0002103:0.88187882796
tmprss13	uberon_0002103:0.338615915348
polr3g	uberon_0002103:1.13866961901
slc16a1	uberon_0002103:0.0375513831796
tg(cag-diaph3)771lesp	uberon_0002103:1.61470947672
slc16a3	uberon_0002103:0.0375513831796
ints4	uberon_0002103:0.913408009078
rbbp7	uberon_0002103:1.45235029153
rbbp6	uberon_0002103:1.36374661568
slc16a7	uberon_0002103:0.0375513831796
rbbp4	uberon_0002103:0.613820601516
coro1b	uberon_0002103:0.0231308629172
coro1c	uberon_0002103:0.165073078665
coro1a	uberon_0002103:0.0837207027009
sox11	uberon_0002103:10.5413772566
gm7271	uberon_0002103:0.525719364515
rheb	uberon_0002103:14.1525367745
tg(col2a1-glg1)#brle	uberon_0002103:0.262859682258
gm7275	uberon_0002103:0.225308299078
pofut1	uberon_0002103:5.32734243642
tmem216	uberon_0002103:0.56318793127
ints8	uberon_0002103:0.850534945366
esr2	uberon_0002103:283.369672062
esr1	uberon_0002103:347.801387931
aca71	uberon_0002103:1.53960671037
skap1	uberon_0002103:1.05143872903
c1ra	uberon_0002103:0.976335962671
papln	uberon_0002103:4.80774991142
cntrl	uberon_0002103:0.766981572617
plin5	uberon_0002103:0.337962448617
plin2	uberon_0002103:8.71289290555
plin3	uberon_0002103:2.0671707558
tswt	uberon_0002103:1.12654149539
plin1	uberon_0002103:3.1583198039
del(2hoxd8-hoxd10)15ddu	uberon_0002103:18.3426735951
sycn	uberon_0002103:0.563270747695
nsmce4a	uberon_0002103:1.72736362626
4833423e24rik	uberon_0002103:0.0375513831796
klb	uberon_0002103:29.1653080708
slc36a4	uberon_0002103:0.0375513831796
pear1	uberon_0002103:0.262859682258
slc36a2	uberon_0002103:3.51379241886
nubpl	uberon_0002103:1.23919564493
mall	uberon_0002103:0.0375513831796
tcsz2	uberon_0002103:1.05143872903
a4gnt	uberon_0002103:0.713476280413
malf	uberon_0002103:0.150205532719
sema3a	uberon_0002103:8.30825266621
ddx17	uberon_0002103:2.6923976027
sema3c	uberon_0002103:0.204854544336
rasgrp1	uberon_0002103:0.014544190957
sema3e	uberon_0002103:0.155379203611
sema3d	uberon_0002103:0.262859682258
ddx10	uberon_0002103:2.31006018812
sema3f	uberon_0002103:9.98209818896
olfr1061	uberon_0002103:0.375513831796
olfr1062	uberon_0002103:19.3765137207
rpl22	uberon_0002103:5.78579703104
thegl	uberon_0002103:3.49227863571
ddx18	uberon_0002103:4.58126874792
gm6139	uberon_0002103:5.06082188092
cdc45	uberon_0002103:1.28459706984
shq1	uberon_0002103:0.225308299078
b230120h23rik	uberon_0002103:0.833990443594
grxcr2	uberon_0002103:3.68003555161
wee2	uberon_0002103:0.410172709278
scap	uberon_0002103:0.488167981335
qars	uberon_0002103:0.0569391332879
klk1b1	uberon_0002103:4.52564848482
atp6ap1l	uberon_0002103:0.0751027663593
adap1	uberon_0002103:0.150205532719
snx32	uberon_0002103:0.413065214976
apol11b	uberon_0002103:0.0751027663593
tg(cd4-hiv)f26622pjo	uberon_0002103:0.187756915898
j3qpi4_mouse	uberon_0002103:0.0375513831796
trex1	uberon_0002103:3.6111386445
slitrk5	uberon_0002103:0.187756915898
sdr42e1	uberon_0002103:0.268339287354
hibch	uberon_0002103:2.74125097211
ddx41	uberon_0002103:23.2343810815
uros	uberon_0002103:6.73460754525
klk1b7-ps	uberon_0002103:0.0375513831796
sox13	uberon_0002103:2.66367121821
rnh1	uberon_0002103:0.0751027663593
ggcx	uberon_0002103:0.427874901286
sik1	uberon_0002103:0.937615748723
topbp1	uberon_0002103:0.0254732343386
sik2	uberon_0002103:1.05143872903
rgs9bp	uberon_0002103:1.05143872903
ggct	uberon_0002103:10.6546848728
treml2	uberon_0002103:0.112654149539
slc31a1	uberon_0002103:0.669798057722
slc31a2	uberon_0002103:0.0751027663593
treml1	uberon_0002103:0.150205532719
ednra	uberon_0002103:54.6901048319
atp2c2	uberon_0002103:11.3901915238
tg(ins2-cebpb)2maka	uberon_0002103:0.563270747695
atp2c1	uberon_0002103:25.2637710765
stk11	uberon_0002103:122.718402766
slc9c1	uberon_0002103:1.08899011221
mpc203h	uberon_0002103:3.45472725253
gm20695	uberon_0002103:1.28362470386
slitrk3	uberon_0002103:0.300411065437
sall3	uberon_0002103:1.29687106137
trap1	uberon_0002103:0.00814931182497
il18r1	uberon_0002103:0.751027663593
ano1	uberon_0002103:0.677231830695
tmem218	uberon_0002103:0.337962448617
nmf172	uberon_0002103:3.45472725253
crhr2	uberon_0002103:0.488167981335
steap1	uberon_0002103:0.0375513831796
crhr1	uberon_0002103:5.0711718878
tax1bp1	uberon_0002103:2.31982944142
arhgef37	uberon_0002103:0.0751027663593
tax1bp3	uberon_0002103:0.187756915898
tg(teto-gjb2*g45e,-egfp)#tww	uberon_0002103:0.375513831796
itk	uberon_0002103:0.675369037177
tradd	uberon_0002103:0.186261394823
arhgef39	uberon_0002103:0.150205532719
ccrs1	uberon_0002103:0.413065214976
nf1	uberon_0002103:128.032088718
slitrk1	uberon_0002103:0.413065214976
bnip3	uberon_0002103:0.00251649741557
ptma	uberon_0002103:0.638373514054
wrn	uberon_0002103:2.78668260648
ambra1	uberon_0002103:0.148157236515
gm4980	uberon_0002103:11.3901915238
gm4987	uberon_0002103:4.67482864353
ptms	uberon_0002103:0.0751027663593
fosl1	uberon_0002103:213.493041155
ysg3	uberon_0002103:0.600822130874
j3kmh2_mouse	uberon_0002103:0.525719364515
pan3	uberon_0002103:0.638373514054
pan2	uberon_0002103:1.8400177758
h2-d1	uberon_0002103:0.00553788015198
pedm35	uberon_0002103:0.187756915898
abtb1	uberon_0002103:0.225308299078
arpc1b	uberon_0002103:0.383490786309
arpc1a	uberon_0002103:1.27424243211
l15r12	uberon_0002103:0.112654149539
tln2	uberon_0002103:4.01878834633
loxl2	uberon_0002103:0.150205532719
tln1	uberon_0002103:1.43398181035
defb47	uberon_0002103:0.150205532719
defb46	uberon_0002103:0.150205532719
defb45	uberon_0002103:0.187756915898
inadl	uberon_0002103:1.31429841129
defb43	uberon_0002103:0.0751027663593
eif4h	uberon_0002103:0.00814931182497
blos2	uberon_0002103:0.713476280413
srgn	uberon_0002103:7.98269912576
olfr1459	uberon_0002103:19.3765137207
slmo2	uberon_0002103:0.0375513831796
dedd	uberon_0002103:0.112654149539
bc067074	uberon_0002103:0.150205532719
rab11fip3	uberon_0002103:0.036593044261
agrn	uberon_0002103:30.0160348304
rab11fip1	uberon_0002103:0.337962448617
rab11fip5	uberon_0002103:0.225308299078
rab11fip4	uberon_0002103:0.112654149539
olfr523	uberon_0002103:0.413065214976
olfr522	uberon_0002103:0.375513831796
olfr521	uberon_0002103:19.3765137207
olfr520	uberon_0002103:19.3765137207
olfr527	uberon_0002103:0.375513831796
mrps18a	uberon_0002103:5.78291300967
mrps18b	uberon_0002103:3.22941895345
mrps18c	uberon_0002103:6.68414620598
ces2f	uberon_0002103:0.0375513831796
gm8894	uberon_0002103:0.0216478521891
lace1	uberon_0002103:0.0751027663593
foxl2	uberon_0002103:8.54037396672
tmem132a	uberon_0002103:11.3901915238
tmem132c	uberon_0002103:0.0375513831796
fabp3	uberon_0002103:0.677231830695
prss46	uberon_0002103:0.0375513831796
prss47	uberon_0002103:0.0375513831796
prss44	uberon_0002103:0.0375513831796
gfy	uberon_0002103:0.262859682258
prss42	uberon_0002103:0.0375513831796
colec10	uberon_0002103:0.150205532719
prss40	uberon_0002103:0.0375513831796
prss41	uberon_0002103:0.0375513831796
cdc25c	uberon_0002103:0.0568563168633
maged1	uberon_0002103:8.79473328054
cdc25a	uberon_0002103:0.147629104461
foxl1	uberon_0002103:2.59374212274
pcp2	uberon_0002103:0.413065214976
prss48	uberon_0002103:0.0375513831796
sipa1l1	uberon_0002103:0.375513831796
arfgef1	uberon_0002103:0.000573559393618
arfgef2	uberon_0002103:2.14657269912
arfgef3	uberon_0002103:0.0375513831796
d1pas1	uberon_0002103:1.80246639262
tg(cag-eln*)2zu	uberon_0002103:0.187756915898
prox1	uberon_0002103:0.450616598156
prox2	uberon_0002103:0.0375513831796
tg(cryaa-atf4)4aki	uberon_0002103:0.751027663593
h2-t23	uberon_0002103:2.07196400449
amhr2	uberon_0002103:62.6818840296
invs	uberon_0002103:18.1025939393
gm7535	uberon_0002103:0.450616598156
atf4	uberon_0002103:75.1927398457
tg(camk2a-disc1)10asaw	uberon_0002103:0.0375513831796
tnfrsf10b	uberon_0002103:0.0994048829378
icam5	uberon_0002103:0.204854544336
icam4	uberon_0002103:0.488167981335
suv420h2	uberon_0002103:0.150205532719
icam1	uberon_0002103:88.9596971567
ssnt1	uberon_0002103:0.450616598156
ssnt3	uberon_0002103:0.450616598156
fabp9	uberon_0002103:0.300411065437
suox	uberon_0002103:0.375513831796
fto	uberon_0002103:11.4801039764
mir96	uberon_0002103:1.8400177758
ntsr2	uberon_0002103:1.79524155732
ntsr1	uberon_0002103:1.76375765592
nup153	uberon_0002103:2.62112018685
coro2b	uberon_0002103:0.0142140792158
4930524b15rik	uberon_0002103:0.0375513831796
gluchos1	uberon_0002103:0.300411065437
fmn2	uberon_0002103:0.225308299078
rwdd3	uberon_0002103:0.0375513831796
mbd5	uberon_0002103:0.563270747695
ift46	uberon_0002103:3.72198762299
camkk2	uberon_0002103:0.826130429952
supt16h	uberon_0002103:4.96912912784
pex5l	uberon_0002103:0.059987543249
atf6	uberon_0002103:5.48809384662
fndc7	uberon_0002103:3.45472725253
celsr3	uberon_0002103:0.265208225549
celsr2	uberon_0002103:0.115064570666
celsr1	uberon_0002103:0.0215156181229
dap3	uberon_0002103:2.72808412751
mbd6	uberon_0002103:0.713476280413
tg(myo7a-srrm4)#bban	uberon_0002103:0.337962448617
caprin2	uberon_0002103:0.675924897234
magix	uberon_0002103:0.187756915898
barhl2	uberon_0002103:0.036593044261
barhl1	uberon_0002103:2.2155316076
tg(cag-trim29)adims	uberon_0002103:0.187756915898
mbd2	uberon_0002103:0.00114711878724
atp1b2	uberon_0002103:0.0461707211342
atp1b3	uberon_0002103:0.000190216768717
dynlt3	uberon_0002103:1.6522608599
il15	uberon_0002103:47.5573564396
10090.ensmusp00000047960	uberon_0002103:2.10287745806
meikin	uberon_0002103:0.0375513831796
pde10a	uberon_0002103:0.314922689663
mcg_1048875	uberon_0002103:3.52983001889
pspn	uberon_0002103:2.66367121821
olfr784	uberon_0002103:0.375513831796
aven	uberon_0002103:0.112654149539
slc6a20a	uberon_0002103:0.150205532719
psph	uberon_0002103:0.901233196312
tg(atxn3*)84.2cce	uberon_0002103:0.112654149539
olfr782	uberon_0002103:19.0761026553
olfr332	uberon_0002103:0.375513831796
cxxc1	uberon_0002103:0.850534945366
mfap1a	uberon_0002103:0.757704749312
cxxc5	uberon_0002103:74.0031866939
cxxc4	uberon_0002103:0.150205532719
bsph2	uberon_0002103:0.112654149539
tmprss11a	uberon_0002103:1.08899011221
srxn1	uberon_0002103:0.563270747695
tmprss11d	uberon_0002103:3.35352796163
kdm5a	uberon_0002103:0.281593965635
kdm5b	uberon_0002103:1.38525543312
tmprss11g	uberon_0002103:0.0375513831796
tmem38b	uberon_0002103:12.9244447223
sectm1a	uberon_0002103:0.0375513831796
tdmq1	uberon_0002103:0.0375513831796
narg2	uberon_0002103:1.64128858068
mocs3	uberon_0002103:0.165675816324
mocs2	uberon_0002103:4.09310076658
mocs1	uberon_0002103:1.30394525133
rpl36-ps4	uberon_0002103:4.42817933934
0610012h03rik	uberon_0002103:0.0751027663593
meox1	uberon_0002103:6.09676612945
meox2	uberon_0002103:9.61549982283
tgfa	uberon_0002103:5.65822196782
atf2	uberon_0002103:148.01457951
gstt4	uberon_0002103:0.375513831796
gstt3	uberon_0002103:0.375513831796
gstt2	uberon_0002103:1.40397168311
gstt1	uberon_0002103:1.47134210989
dmwd	uberon_0002103:0.262859682258
snupn	uberon_0002103:0.281593965635
4932429p05rik	uberon_0002103:0.187756915898
asap1	uberon_0002103:1.33959611544
itm2b	uberon_0002103:0.0375513831796
nom1	uberon_0002103:0.600822130874
rgsc785	uberon_0002103:3.45472725253
isl1	uberon_0002103:220.55921357
zfp68	uberon_0002103:0.0375513831796
rgsc788	uberon_0002103:3.45472725253
stx1a	uberon_0002103:2.37274467262
gm2035	uberon_0002103:3.07921342073
rr29	uberon_0002103:62.2332749454
dll1	uberon_0002103:45.556090772
gm7040	uberon_0002103:0.0430312362457
fmgty3	uberon_0002103:1504.73146278
fmgty2	uberon_0002103:1504.73146278
fmgty1	uberon_0002103:962.041427021
zfp42	uberon_0002103:1.6522608599
fmgty7	uberon_0002103:1504.73146278
fmgty6	uberon_0002103:1504.73146278
fmgty5	uberon_0002103:1504.73146278
fmgty4	uberon_0002103:1504.73146278
fmgty9	uberon_0002103:962.041427021
fmgty8	uberon_0002103:1504.73146278
cfap36	uberon_0002103:0.0751027663593
sell	uberon_0002103:3.38173190751
selo	uberon_0002103:2.0671707558
selh	uberon_0002103:0.150205532719
h28	uberon_0002103:0.0751027663593
gm20946	uberon_0002103:0.112654149539
sele	uberon_0002103:5.32957416525
gab2	uberon_0002103:19.7268456797
hgs	uberon_0002103:30.5039834827
vmn1r179	uberon_0002103:0.413065214976
gtf3a	uberon_0002103:2.66367121821
pparg	uberon_0002103:241.445821108
ppard	uberon_0002103:53.876860362
rgsc258	uberon_0002103:1.53960671037
qdpr	uberon_0002103:4.1343415116
hgf	uberon_0002103:141.056431639
rgsc252	uberon_0002103:0.112654149539
wipf1	uberon_0002103:0.00503299483114
selp	uberon_0002103:20.0573404507
pa2g4	uberon_0002103:4.43054313181
nr2e1	uberon_0002103:13.4186158855
mrpl10	uberon_0002103:2.96655927119
mrpl11	uberon_0002103:7.32980084071
mrpl12	uberon_0002103:6.79680035552
mrpl13	uberon_0002103:7.47507668489
mrpl14	uberon_0002103:3.41717586935
mrpl15	uberon_0002103:8.60505370665
mrpl16	uberon_0002103:9.50321975475
mrpl17	uberon_0002103:7.47272525275
mrpl18	uberon_0002103:3.83024108432
nuak1	uberon_0002103:11.3901915238
nuak2	uberon_0002103:0.0375513831796
nr2e3	uberon_0002103:2.62112018685
inpp4b	uberon_0002103:57.692998937
plau	uberon_0002103:130.010319498
plat	uberon_0002103:45.2824107096
ddx4	uberon_0002103:3.95583624028
ddx5	uberon_0002103:1.98597830556
tg(ttn-ighmbp2)108cx	uberon_0002103:0.0375513831796
smn1	uberon_0002103:0.788438370711
ddx1	uberon_0002103:0.938784579491
s100a11	uberon_0002103:0.225308299078
s100a10	uberon_0002103:0.563270747695
plaa	uberon_0002103:0.059987543249
prc1	uberon_0002103:0.912999039724
oip5	uberon_0002103:0.211209939135
exf	uberon_0002103:0.0375513831796
olfr1388	uberon_0002103:19.3765137207
rcc1l	uberon_0002103:0.638373514054
taf6l	uberon_0002103:0.0919352920544
dll4	uberon_0002103:12.6613223828
tpo	uberon_0002103:23.2902383909
olfr1380	uberon_0002103:19.3765137207
olfr1383	uberon_0002103:19.3765137207
olfr1382	uberon_0002103:19.0761026553
als2	uberon_0002103:7.78150184451
rsg1	uberon_0002103:74.8738509558
olfr1387	uberon_0002103:19.3765137207
olfr1386	uberon_0002103:19.3765137207
bc066135	uberon_0002103:0.112654149539
lrp1b	uberon_0002103:0.488167981335
tpr	uberon_0002103:2.97871210094
mia3	uberon_0002103:0.150205532719
rpe65	uberon_0002103:2.81635373847
myoz2	uberon_0002103:21.1855056058
flt4	uberon_0002103:82.1828426723
myoz1	uberon_0002103:43.54535486
psmf1	uberon_0002103:4.22766059997
flt3	uberon_0002103:23.8081796893
flt1	uberon_0002103:83.724356681
olfr310	uberon_0002103:19.4516164871
olfr311	uberon_0002103:0.375513831796
olfr312	uberon_0002103:0.375513831796
olfr313	uberon_0002103:0.375513831796
olfr314	uberon_0002103:0.375513831796
olfr315	uberon_0002103:0.375513831796
olfr316	uberon_0002103:19.0761026553
olfr317	uberon_0002103:19.0761026553
mtf1	uberon_0002103:8.79473328054
olfr319	uberon_0002103:19.3765137207
mtf2	uberon_0002103:22.6563930216
mt3	uberon_0002103:0.536643174781
bc029214	uberon_0002103:0.0231308629172
slc25a20	uberon_0002103:2.66367121821
slc25a21	uberon_0002103:0.0751027663593
depdc7	uberon_0002103:0.0566827379532
adcyap1	uberon_0002103:13.7317253294
slc25a25	uberon_0002103:0.0751027663593
dlx5	uberon_0002103:392.781364585
dlx6	uberon_0002103:157.42709035
4931409k22rik	uberon_0002103:0.150205532719
spam1	uberon_0002103:0.0566827379532
dlx2	uberon_0002103:199.804286378
dlx3	uberon_0002103:8.73670278659
cr2	uberon_0002103:4.93305522718
ankrd44	uberon_0002103:13.9787599756
mt-nd2	uberon_0002103:2.70369958893
ankrd46	uberon_0002103:0.150205532719
akr1c12	uberon_0002103:0.338615915348
akr1c13	uberon_0002103:0.112654149539
mt-nd6	uberon_0002103:3.37962448617
ankrd42	uberon_0002103:13.9787599756
sorbs2	uberon_0002103:13.3183560911
ankrd49	uberon_0002103:0.112654149539
tg(col2a1-pthr1*h223r)ahju	uberon_0002103:0.0751027663593
akr1c18	uberon_0002103:1.01388734585
akr1c19	uberon_0002103:0.112654149539
derl1	uberon_0002103:0.00376191587123
derl2	uberon_0002103:2.39922596372
derl3	uberon_0002103:0.901233196312
snf8	uberon_0002103:0.036593044261
opn1mw	uberon_0002103:1.16409287857
zscan2	uberon_0002103:0.413065214976
gm9268	uberon_0002103:0.300411065437
cdk18	uberon_0002103:0.561741110594
cdk19	uberon_0002103:1.16409287857
ctnnal1	uberon_0002103:0.669798057722
gap43	uberon_0002103:5.58298143449
treh	uberon_0002103:0.450616598156
cdk12	uberon_0002103:0.166439896729
cdk13	uberon_0002103:0.306280528759
cdk10	uberon_0002103:0.300411065437
cdk16	uberon_0002103:1.12637586254
cdk17	uberon_0002103:0.382727415795
cdk14	uberon_0002103:0.27558556261
tg(hgf)1paus	uberon_0002103:0.0375513831796
wdr78	uberon_0002103:0.112654149539
gsg1l	uberon_0002103:0.0375513831796
sh3bp1	uberon_0002103:0.0375513831796
sh3bp2	uberon_0002103:9.37461637367
10090.ensmusp00000129555	uberon_0002103:0.413065214976
wdr73	uberon_0002103:0.041804510447
wdr72	uberon_0002103:0.0108239260946
wdr75	uberon_0002103:4.65637151428
wdr74	uberon_0002103:4.28085768248
wdr77	uberon_0002103:0.073186088522
wdr76	uberon_0002103:0.0751027663593
tgfbr3	uberon_0002103:111.830079805
ppp2r1a	uberon_0002103:2.05567034846
tgfbr1	uberon_0002103:184.333329108
wbscr27	uberon_0002103:0.713476280413
tg(hoxc13)61u4awg	uberon_0002103:0.0375513831796
rbl1	uberon_0002103:29.4199859619
rbl2	uberon_0002103:10.6301887644
tg(krt14-casp1)1miz	uberon_0002103:0.150205532719
ppp4c	uberon_0002103:0.327407115221
kcnab1	uberon_0002103:1.61470947672
rbm24	uberon_0002103:0.112654149539
kcnab3	uberon_0002103:0.0375513831796
kcnab2	uberon_0002103:1.38940117765
sssca1	uberon_0002103:0.112654149539
btn1a1	uberon_0002103:0.413065214976
ldhd	uberon_0002103:0.525719364515
gprc6a	uberon_0002103:2.01805585986
crh	uberon_0002103:47.1610265648
pmm1	uberon_0002103:0.375513831796
crn	uberon_0002103:4.63952899818
ldha	uberon_0002103:0.147629104461
ldhb	uberon_0002103:1.0412211285
ldhc	uberon_0002103:2.90892955423
pth1r	uberon_0002103:143.559502845
pnliprp1	uberon_0002103:0.306280528759
ugcg	uberon_0002103:1.91819765905
set	uberon_0002103:0.713476280413
calcrl	uberon_0002103:6.49186367542
tdrd3	uberon_0002103:0.713476280413
pira2	uberon_0002103:0.187756915898
tdrd1	uberon_0002103:2.4032885235
tdrd7	uberon_0002103:0.300411065437
tdrd6	uberon_0002103:1.53960671037
tdrd5	uberon_0002103:1.76491500944
cetn2	uberon_0002103:1.30962492319
tip	uberon_0002103:0.112654149539
srp68	uberon_0002103:1.27042042025
nup50	uberon_0002103:1.88233046769
seb	uberon_0002103:24.5207906989
ehhadh	uberon_0002103:3.00411065437
myl12b	uberon_0002103:0.00747877472073
nudt19	uberon_0002103:0.0375513831796
gfi1b	uberon_0002103:0.0461707211342
gm42715	uberon_0002103:0.638373514054
mpv17	uberon_0002103:3.66465141831
tg(best1-htra1)#ybf	uberon_0002103:0.187756915898
epn1	uberon_0002103:0.14999096853
epn3	uberon_0002103:0.147096183947
epn2	uberon_0002103:4.38970497572
8430406i07rik	uberon_0002103:0.150205532719
opa3	uberon_0002103:0.225308299078
opa1	uberon_0002103:1.66798088719
mhdakta36	uberon_0002103:3.34207310299
shank3	uberon_0002103:15.9449579355
shank2	uberon_0002103:5.66101470981
shank1	uberon_0002103:4.79549414762
snrpd3	uberon_0002103:6.1730546654
snrpd2	uberon_0002103:5.67065127869
eif2b3	uberon_0002103:0.357261757515
plcg2	uberon_0002103:11.7330605061
plcg1	uberon_0002103:24.8589455259
golm1	uberon_0002103:0.0375513831796
b2b2153.1clo	uberon_0002103:0.0375513831796
ac	uberon_0002103:0.375513831796
mccc2	uberon_0002103:1.8400177758
mccc1	uberon_0002103:0.938784579491
nsl1	uberon_0002103:0.413065214976
cox18	uberon_0002103:0.675924897234
pemt	uberon_0002103:0.166439896729
tg(teto-mapt*p301l)#kha	uberon_0002103:0.112654149539
acsm1	uberon_0002103:0.0020662577746
acsm3	uberon_0002103:0.357261757515
nop2	uberon_0002103:6.75924897234
ppp2r6	uberon_0002103:0.409709088672
rit2	uberon_0002103:1.19961298186
ppp2r4	uberon_0002103:0.578416342253
sgip1	uberon_0002103:1.24467610965
bulb2	uberon_0002103:0.488167981335
adgre5	uberon_0002103:0.375513831796
klrb1f	uberon_0002103:4.80774991142
klrb1b	uberon_0002103:4.80774991142
klrb1c	uberon_0002103:30.6196327284
pdc	uberon_0002103:0.713476280413
mdn1	uberon_0002103:0.976335962671
lingo4	uberon_0002103:11.3901915238
lingo3	uberon_0002103:11.3901915238
lingo2	uberon_0002103:11.3901915238
lingo1	uberon_0002103:0.492679488046
h2-ob	uberon_0002103:0.0430312362457
foxd4	uberon_0002103:0.0375513831796
foxd2	uberon_0002103:0.413065214976
foxd3	uberon_0002103:206.576505991
foxd1	uberon_0002103:15.299844165
amdhd1	uberon_0002103:0.262859682258
amdhd2	uberon_0002103:4.68206875512
habp2	uberon_0002103:1.08899011221
sypl	uberon_0002103:0.112654149539
cndp1	uberon_0002103:1.57715809355
cndp2	uberon_0002103:1.61470947672
ch25h	uberon_0002103:0.00503299483114
sdk1	uberon_0002103:0.0375513831796
gm4794	uberon_0002103:0.0751027663593
gm4795	uberon_0002103:1.35184979447
apobec2	uberon_0002103:55.3913025028
obp2a	uberon_0002103:0.0375513831796
rsc1a1	uberon_0002103:4.80774991142
gm4799	uberon_0002103:0.314922689663
fads2	uberon_0002103:0.959098829523
tg(myh6-tnf)1.6amf	uberon_0002103:0.262859682258
olfr1135	uberon_0002103:19.3765137207
mki67ip	uberon_0002103:7.12329103609
m3anu	uberon_0002103:0.375513831796
oog2	uberon_0002103:0.488167981335
nrk	uberon_0002103:0.187756915898
cldn13	uberon_0002103:0.059987543249
cldn10	uberon_0002103:0.0231308629172
zfp575	uberon_0002103:0.0751027663593
cldn16	uberon_0002103:0.091576947656
cldn17	uberon_0002103:0.0142140792158
cldn14	uberon_0002103:0.637662614838
cd55	uberon_0002103:0.0115334247775
smok3a	uberon_0002103:0.262859682258
cldn18	uberon_0002103:0.165073078665
cldn19	uberon_0002103:0.0142140792158
leo1	uberon_0002103:0.402509914643
usp9x	uberon_0002103:0.0284281584317
c330007p06rik	uberon_0002103:0.0751027663593
prlhr	uberon_0002103:0.0751027663593
tg(mmtv-tgfbr2)7hlm	uberon_0002103:0.638373514054
csf3r	uberon_0002103:16.2918325479
scgb1a1	uberon_0002103:0.000190216768717
pold2	uberon_0002103:1.51540949862
fam20a	uberon_0002103:38.0796077838
fam20b	uberon_0002103:11.3901915238
mc3r	uberon_0002103:11.8598060985
porcn	uberon_0002103:14.6586056732
mir196a-2	uberon_0002103:1.53960671037
mir196a-1	uberon_0002103:0.0751027663593
baiap2l2	uberon_0002103:0.112654149539
mlx	uberon_0002103:0.150205532719
agnm2	uberon_0002103:0.976335962671
lamb3	uberon_0002103:40.1789206302
colm	uberon_0002103:0.300411065437
stac3	uberon_0002103:22.7803830475
bulb3	uberon_0002103:0.488167981335
amh	uberon_0002103:6.80001369545
nomo1	uberon_0002103:0.112654149539
cox4i2	uberon_0002103:0.331514531035
cox4i1	uberon_0002103:0.225481877988
mcg_140923	uberon_0002103:0.901233196312
adcy10	uberon_0002103:2.33741432176
vos	uberon_0002103:0.113365475906
snai2	uberon_0002103:113.163192369
tob1	uberon_0002103:0.525719364515
snai1	uberon_0002103:173.105444408
nab1	uberon_0002103:22.7803830475
del(16t10-hira)4bld	uberon_0002103:0.0375513831796
nab2	uberon_0002103:8.17359689964
aldh3b2	uberon_0002103:4.58126874792
aldh3b1	uberon_0002103:2.57404301945
hoxb9	uberon_0002103:0.059987543249
amn	uberon_0002103:0.150205532719
