Date: 2018.06.26
ZFIN ID	ZFIN Symbol	ZFIN Name	Mouse Symbol	Mouse Name	MGI ID	Gene ID	Evidence	Pub ID	
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-121120-11
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-140101-24
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-990427-16
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	CE	ZDB-PUB-990427-16
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	CL	ZDB-PUB-030905-1
ZDB-GENE-000328-3	fzd8a	frizzled class receptor 8a	Fzd8	frizzled class receptor 8	MGI:108460	14370	AA	ZDB-PUB-990106-17
ZDB-GENE-000328-3	fzd8a	frizzled class receptor 8a	Fzd8	frizzled class receptor 8	MGI:108460	14370	CL	ZDB-PUB-030905-1
ZDB-GENE-000328-4	fzd8b	frizzled class receptor 8b	Fzd8	frizzled class receptor 8	MGI:108460	14370	AA	ZDB-PUB-990106-17
ZDB-GENE-000328-5	hoxc9a	homeobox C9a	Hoxc9	homeobox C9	MGI:96199	15427	AA	ZDB-PUB-981208-18
ZDB-GENE-000328-5	hoxc9a	homeobox C9a	Hoxc9	homeobox C9	MGI:96199	15427	CL	ZDB-PUB-981208-18
ZDB-GENE-000329-17	hoxc12b	homeobox C12b	Hoxc12	homeobox C12	MGI:96194	15421	CL	ZDB-PUB-981208-18
ZDB-GENE-000329-2	hoxb7a	homeobox B7a	Hoxb7	homeobox B7	MGI:96188	15415	CL	ZDB-PUB-981208-18
ZDB-GENE-000329-4	notch2	notch 2	Notch2	notch 2	MGI:97364	18129	AA	ZDB-PUB-010807-20
ZDB-GENE-000329-4	notch2	notch 2	Notch2	notch 2	MGI:97364	18129	CL	ZDB-PUB-030905-1
ZDB-GENE-000329-5	notch3	notch 3	Notch3	notch 3	MGI:99460	18131	AA	ZDB-PUB-030905-1
ZDB-GENE-000329-5	notch3	notch 3	Notch3	notch 3	MGI:99460	18131	CL	ZDB-PUB-030905-1
ZDB-GENE-000329-9	actn3a	actinin alpha 3a	Actn3	actinin alpha 3	MGI:99678	11474	AA	ZDB-PUB-030905-1
ZDB-GENE-000329-9	actn3a	actinin alpha 3a	Actn3	actinin alpha 3	MGI:99678	11474	AA	ZDB-PUB-120125-17
ZDB-GENE-000329-9	actn3a	actinin alpha 3a	Actn3	actinin alpha 3	MGI:99678	11474	CL	ZDB-PUB-030905-1
ZDB-GENE-000330-2	trpc4apb	transient receptor potential cation channel, subfamily C, member 4 associated protein b	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	MGI:1930751	56407	AA	ZDB-PUB-030905-1
ZDB-GENE-000330-2	trpc4apb	transient receptor potential cation channel, subfamily C, member 4 associated protein b	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	MGI:1930751	56407	CL	ZDB-PUB-030905-1
ZDB-GENE-000330-3	trpc4apa	transient receptor potential cation channel, subfamily C, member 4 associated protein a	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	MGI:1930751	56407	AA	ZDB-PUB-030905-1
ZDB-GENE-000330-3	trpc4apa	transient receptor potential cation channel, subfamily C, member 4 associated protein a	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	MGI:1930751	56407	CL	ZDB-PUB-030905-1
ZDB-GENE-000330-3	trpc4apa	transient receptor potential cation channel, subfamily C, member 4 associated protein a	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	MGI:1930751	56407	CL	ZDB-PUB-140723-3
ZDB-GENE-000330-4	stx1b	syntaxin 1B	Stx1b	syntaxin 1B	MGI:1930705	56216	AA	ZDB-PUB-030905-1
ZDB-GENE-000330-4	stx1b	syntaxin 1B	Stx1b	syntaxin 1B	MGI:1930705	56216	CL	ZDB-PUB-030905-1
ZDB-GENE-000330-9	psen2	presenilin 2	Psen2	presenilin 2	MGI:109284	19165	AA	ZDB-PUB-021112-3
ZDB-GENE-000403-1	axin1	axin 1	Axin1	axin 1	MGI:1096327	12005	AA	ZDB-PUB-010705-2
ZDB-GENE-000403-1	axin1	axin 1	Axin1	axin 1	MGI:1096327	12005	CL	ZDB-PUB-030905-1
ZDB-GENE-000403-2	axin2	axin 2 (conductin, axil)	Axin2	axin 2	MGI:1270862	12006	AA	ZDB-PUB-030905-1
ZDB-GENE-000403-2	axin2	axin 2 (conductin, axil)	Axin2	axin 2	MGI:1270862	12006	CL	ZDB-PUB-030905-1
ZDB-GENE-000405-1	pbx1a	pre-B-cell leukemia homeobox 1a	Pbx1	pre B cell leukemia homeobox 1	MGI:97495	18514	AA	ZDB-PUB-061031-2
ZDB-GENE-000405-3	pbx3b	pre-B-cell leukemia homeobox 3b	Pbx3	pre B cell leukemia homeobox 3	MGI:97496	18516	AA	ZDB-PUB-061031-2
ZDB-GENE-000405-3	pbx3b	pre-B-cell leukemia homeobox 3b	Pbx3	pre B cell leukemia homeobox 3	MGI:97496	18516	CL	ZDB-PUB-030905-1
ZDB-GENE-000405-5	pbx2	pre-B-cell leukemia homeobox 2	Pbx2	pre B cell leukemia homeobox 2	MGI:1341793	18515	AA	ZDB-PUB-001220-4
ZDB-GENE-000405-5	pbx2	pre-B-cell leukemia homeobox 2	Pbx2	pre B cell leukemia homeobox 2	MGI:1341793	18515	AA	ZDB-PUB-061031-2
ZDB-GENE-000405-6	dazl	deleted in azoospermia-like	Dazl	deleted in azoospermia-like	MGI:1342328	13164	AA	ZDB-PUB-030905-1
ZDB-GENE-000405-6	dazl	deleted in azoospermia-like	Dazl	deleted in azoospermia-like	MGI:1342328	13164	CL	ZDB-PUB-030905-1
ZDB-GENE-000406-10	ccnb1	cyclin B1	Ccnb1	cyclin B1	MGI:88302	268697	AA	ZDB-PUB-020723-5
ZDB-GENE-000406-5	copz2	coatomer protein complex, subunit zeta 2	Copz2	coatomer protein complex, subunit zeta 2	MGI:1929008	56358	AA	ZDB-PUB-030905-1
ZDB-GENE-000406-5	copz2	coatomer protein complex, subunit zeta 2	Copz2	coatomer protein complex, subunit zeta 2	MGI:1929008	56358	CL	ZDB-PUB-030905-1
ZDB-GENE-000406-6	copz1	coatomer protein complex, subunit zeta 1	Copz1	coatomer protein complex, subunit zeta 1	MGI:1929063	56447	AA	ZDB-PUB-030905-1
ZDB-GENE-000406-6	copz1	coatomer protein complex, subunit zeta 1	Copz1	coatomer protein complex, subunit zeta 1	MGI:1929063	56447	CL	ZDB-PUB-030905-1
ZDB-GENE-000406-6	copz1	coatomer protein complex, subunit zeta 1	Copz1	coatomer protein complex, subunit zeta 1	MGI:1929063	56447	NT	ZDB-PUB-020521-9
ZDB-GENE-000411-1	wnt4b	wingless-type MMTV integration site family, member 4b	Wnt4	wingless-type MMTV integration site family, member 4	MGI:98957	22417	AA	ZDB-PUB-000309-23
ZDB-GENE-000411-1	wnt4b	wingless-type MMTV integration site family, member 4b	Wnt4	wingless-type MMTV integration site family, member 4	MGI:98957	22417	CL	ZDB-PUB-030905-1
ZDB-GENE-000412-1	bdnf	brain-derived neurotrophic factor	Bdnf	brain derived neurotrophic factor	MGI:88145	12064	AA	ZDB-PUB-980618-5
ZDB-GENE-000412-1	bdnf	brain-derived neurotrophic factor	Bdnf	brain derived neurotrophic factor	MGI:88145	12064	CL	ZDB-PUB-030905-1
ZDB-GENE-000427-7	tbx20	T-box 20	Tbx20	T-box 20	MGI:1888496	57246	AA	ZDB-PUB-030707-1
ZDB-GENE-000427-7	tbx20	T-box 20	Tbx20	T-box 20	MGI:1888496	57246	AA	ZDB-PUB-080327-10
ZDB-GENE-000427-7	tbx20	T-box 20	Tbx20	T-box 20	MGI:1888496	57246	CL	ZDB-PUB-030905-1
ZDB-GENE-000501-1	celf1	cugbp, Elav-like family member 1	Celf1	CUGBP, Elav-like family member 1	MGI:1342295	13046	AA	ZDB-PUB-030905-1
ZDB-GENE-000501-1	celf1	cugbp, Elav-like family member 1	Celf1	CUGBP, Elav-like family member 1	MGI:1342295	13046	CL	ZDB-PUB-030905-1
ZDB-GENE-000501-2	celf3a	cugbp, Elav-like family member 3a	Celf3	CUGBP, Elav-like family member 3	MGI:1926034	78784	AA	ZDB-PUB-030905-1
ZDB-GENE-000501-2	celf3a	cugbp, Elav-like family member 3a	Celf3	CUGBP, Elav-like family member 3	MGI:1926034	78784	CL	ZDB-PUB-030905-1
ZDB-GENE-000502-1	bmpr1aa	bone morphogenetic protein receptor, type IAa	Bmpr1a	bone morphogenetic protein receptor, type 1A	MGI:1338938	12166	AA	ZDB-PUB-030905-1
ZDB-GENE-000502-1	bmpr1aa	bone morphogenetic protein receptor, type IAa	Bmpr1a	bone morphogenetic protein receptor, type 1A	MGI:1338938	12166	CL	ZDB-PUB-030905-1
ZDB-GENE-000508-1	dct	dopachrome tautomerase	Dct	dopachrome tautomerase	MGI:102563	13190	AA	ZDB-PUB-010416-6
ZDB-GENE-000508-1	dct	dopachrome tautomerase	Dct	dopachrome tautomerase	MGI:102563	13190	CL	ZDB-PUB-030905-1
ZDB-GENE-000509-1	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a	Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:1096381	11865	AA	ZDB-PUB-000505-22
ZDB-GENE-000509-1	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a	Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:1096381	11865	AA	ZDB-PUB-021015-19
ZDB-GENE-000509-1	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a	Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:1096381	11865	AA	ZDB-PUB-081022-22
ZDB-GENE-000509-1	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a	Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:1096381	11865	AA	ZDB-PUB-141210-15
ZDB-GENE-000509-1	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a	Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:1096381	11865	CL	ZDB-PUB-081022-22
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	AA	ZDB-PUB-021015-19
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	AA	ZDB-PUB-081022-22
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	AA	ZDB-PUB-090526-36
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	AA	ZDB-PUB-141210-15
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	CL	ZDB-PUB-081022-22
ZDB-GENE-000509-2	arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:2684845	272322	CL	ZDB-PUB-090526-36
ZDB-GENE-000509-3	smad3a	SMAD family member 3a	Smad3	SMAD family member 3	MGI:1201674	17127	AA	ZDB-PUB-000505-18
ZDB-GENE-000511-1	hand2	heart and neural crest derivatives expressed 2	Hand2	heart and neural crest derivatives expressed 2	MGI:103580	15111	AA	ZDB-PUB-000824-16
ZDB-GENE-000511-1	hand2	heart and neural crest derivatives expressed 2	Hand2	heart and neural crest derivatives expressed 2	MGI:103580	15111	AA	ZDB-PUB-140720-3
ZDB-GENE-000511-1	hand2	heart and neural crest derivatives expressed 2	Hand2	heart and neural crest derivatives expressed 2	MGI:103580	15111	CL	ZDB-PUB-030905-1
ZDB-GENE-000511-2	pycard	PYD and CARD domain containing	Pycard	PYD and CARD domain containing	MGI:1931465	66824	AA	ZDB-PUB-030117-3
ZDB-GENE-000511-2	pycard	PYD and CARD domain containing	Pycard	PYD and CARD domain containing	MGI:1931465	66824	AA	ZDB-PUB-090828-12
ZDB-GENE-000511-2	pycard	PYD and CARD domain containing	Pycard	PYD and CARD domain containing	MGI:1931465	66824	PT	ZDB-PUB-171110-7
ZDB-GENE-000511-3	dap	death-associated protein	Dap	death-associated protein	MGI:1918190	223453	AA	ZDB-PUB-030905-1
